Year,Quarter,Category,Country,Share
2021,Q1,Q1 2021,United States,24.08461
2021,Q2,Q2 2021,United States,29.03832
2021,Q3,Q3 2021,United States,27.81429
2021,Q4,Q4 2021,United States,31.40748
2022,Q1,Q1 2022,United States,48.62847
2022,Q2,Q2 2022,United States,48.71694
2022,Q3,Q3 2022,United States,41.39207
2022,Q4,Q4 2022,United States,39.25731
2023,Q1,Q1 2023,United States,40.67026
2023,Q2,Q2 2023,United States,46.74425
2023,Q3,Q3 2023,United States,48.52377
2023,Q4,Q4 2023,United States,50.23796
2024,Q1,Q1 2024,United States,49.0009
2024,Q2,Q2 2024,United States,48.32096
2024,Q3,Q3 2024,United States,40.26421
2024,Q4,Q4 2024,United States,39.74949
2025,Q1,Q1 2025,United States,50.90017
2025,Q2,Q2 2025,United States,58.40034
2025,Q3,Q3 2025,United States,60.07271
2025,Q4,Q4 2025,United States,56.12494
2026,Q1,Q1 2026,United States,57.44168
2021,Q1,Q1 2021,Algeria,15.39043
2021,Q2,Q2 2021,Algeria,12.27292
2021,Q3,Q3 2021,Algeria,11.0944
2021,Q4,Q4 2021,Algeria,7.74855
2022,Q1,Q1 2022,Algeria,4.29541
2022,Q2,Q2 2022,Algeria,4.74602
2022,Q3,Q3 2022,Algeria,3.55774
2022,Q4,Q4 2022,Algeria,4.24431
2023,Q1,Q1 2023,Algeria,6.2242
2023,Q2,Q2 2023,Algeria,9.30117
2023,Q3,Q3 2023,Algeria,10.09531
2023,Q4,Q4 2023,Algeria,9.94341
2024,Q1,Q1 2024,Algeria,9.05148
2024,Q2,Q2 2024,Algeria,10.82287
2024,Q3,Q3 2024,Algeria,12.95044
2024,Q4,Q4 2024,Algeria,10.2425
2025,Q1,Q1 2025,Algeria,5.9672
2025,Q2,Q2 2025,Algeria,7.09618
2025,Q3,Q3 2025,Algeria,7.67014
2025,Q4,Q4 2025,Algeria,5.62918
2026,Q1,Q1 2026,Algeria,3.06145
2021,Q1,Q1 2021,Nigeria,15.36388
2021,Q2,Q2 2021,Nigeria,11.45285
2021,Q3,Q3 2021,Nigeria,11.97205
2021,Q4,Q4 2021,Nigeria,5.85856
2022,Q1,Q1 2022,Nigeria,6.4544
2022,Q2,Q2 2022,Nigeria,4.23161
2022,Q3,Q3 2022,Nigeria,3.21387
2022,Q4,Q4 2022,Nigeria,2.93313
2023,Q1,Q1 2023,Nigeria,4.00383
2023,Q2,Q2 2023,Nigeria,4.92403
2023,Q3,Q3 2023,Nigeria,5.08989
2023,Q4,Q4 2023,Nigeria,3.6833
2024,Q1,Q1 2024,Nigeria,3.86777
2024,Q2,Q2 2024,Nigeria,4.32677
2024,Q3,Q3 2024,Nigeria,4.14318
2024,Q4,Q4 2024,Nigeria,5.06314
2025,Q1,Q1 2025,Nigeria,4.12833
2025,Q2,Q2 2025,Nigeria,5.28509
2025,Q3,Q3 2025,Nigeria,3.34976
2025,Q4,Q4 2025,Nigeria,3.98521
2026,Q1,Q1 2026,Nigeria,6.21172
2021,Q1,Q1 2021,Qatar,14.7684
2021,Q2,Q2 2021,Qatar,17.98047
2021,Q3,Q3 2021,Qatar,24.31382
2021,Q4,Q4 2021,Qatar,18.53392
2022,Q1,Q1 2022,Qatar,10.44615
2022,Q2,Q2 2022,Qatar,11.71094
2022,Q3,Q3 2022,Qatar,19.77175
2022,Q4,Q4 2022,Qatar,17.04183
2023,Q1,Q1 2023,Qatar,14.35401
2023,Q2,Q2 2023,Qatar,12.34169
2023,Q3,Q3 2023,Qatar,12.7904
2023,Q4,Q4 2023,Qatar,10.80187
2024,Q1,Q1 2024,Qatar,9.23081
2024,Q2,Q2 2024,Qatar,11.36412
2024,Q3,Q3 2024,Qatar,10.44044
2024,Q4,Q4 2024,Qatar,12.2779
2025,Q1,Q1 2025,Qatar,10.85993
2025,Q2,Q2 2025,Qatar,7.8155
2025,Q3,Q3 2025,Qatar,6.0241
2025,Q4,Q4 2025,Qatar,10.16846
2026,Q1,Q1 2026,Qatar,6.59085
2021,Q1,Q1 2021,Russia,21.21683
2021,Q2,Q2 2021,Russia,21.16738
2021,Q3,Q3 2021,Russia,16.74244
2021,Q4,Q4 2021,Russia,21.70143
2022,Q1,Q1 2022,Russia,18.06623
2022,Q2,Q2 2022,Russia,15.34853
2022,Q3,Q3 2022,Russia,11.8552
2022,Q4,Q4 2022,Russia,10.49171
2023,Q1,Q1 2023,Russia,12.68333
2023,Q2,Q2 2023,Russia,11.90004
2023,Q3,Q3 2023,Russia,9.40645
2023,Q4,Q4 2023,Russia,12.96559
2024,Q1,Q1 2024,Russia,18.21399
2024,Q2,Q2 2024,Russia,16.54729
2024,Q3,Q3 2024,Russia,18.72155
2024,Q4,Q4 2024,Russia,19.40542
2025,Q1,Q1 2025,Russia,17.10242
2025,Q2,Q2 2025,Russia,12.31667
2025,Q3,Q3 2025,Russia,12.65823
2025,Q4,Q4 2025,Russia,12.34153
2026,Q1,Q1 2026,Russia,17.30828
